Country,OverallCDI,OverallCV,OverallPC,OverallPop08,WeatherCDI,WeatherCV,WeatherPC,SeaCDI,SeaCV,SeaPC,SeaPop08,AgCDI,AgCV,AgPC,AgPop08,Income_per_cap,KKM_score,Area,Island,Sm_Island,Region,WBRegion,Subregion,ISO3,IncomeStatus,WBLendingClass
Eritrea,26.562,23.876,11.144,5502.03,0.29919,0.77668,0.12895,1.33000,3.74446,0.42166,27.79,34.110,28.541,14.467,4362.01,721,-2.13,117600,0,0,Africa,SSA,East Africa,ERI,Low Income,IDA
Estonia,4.628,0.040,6.215,1307.60,0.00249,0.00006,0.00344,13.48000,0.36534,13.65653,60.27,13.560,0.109,18.410,399.34,18563,1.47,45228,0,0,Europe,ECA,Eastern Europe,EST,High Income Non OECD,NC
Ethiopia,47.827,16.962,50.485,82544.84,6.01581,6.16165,6.52354,0.00000,0.00000,0.00000,,52.080,17.194,55.576,68512.22,600,-0.86,1104300,0,0,Africa,SSA,East Africa,ETH,Low Income,IDA
Faeroe Islands,19.131,0.080,21.467,48.67,0.00696,0.00008,0.00802,6.70000,0.08712,5.67336,1.07,33.360,0.129,37.844,28.51,48200,1.44,1393,1,1,Oceania,ECA,Atlantic Islands,FRO,High Income Non OECD,NC
Falkland Islands,12.742,0.059,14.650,3.00,0.00331,0.00004,0.00390,25.93000,0.37472,22.49930,0.25,33.360,0.143,38.777,0.99,42100,1.44,12173,1,1,Oceania,LCR,Atlantic Islands,FLK,High Income Non OECD,NC
Fiji,16.820,1.060,13.337,860.53,0.11671,0.02125,0.09507,20.29000,4.00196,12.14285,55.44,33.360,1.958,26.743,409.96,4798,-0.68,18274,1,1,Oceania,EAP,Pacific Islands,FJI,Upper Middle Income,IBRD
Finland,-6.417,-0.035,-8.055,5244.75,0.00138,0.00002,0.00178,2.89000,0.04930,2.73715,86.20,-18.140,-0.092,-23.013,1924.82,32057,1.58,338145,0,0,Europe,ECA,Western Europe,FIN,High Income OECD,NC
France,2.566,0.016,2.942,64057.79,0.05119,0.00090,0.06030,3.92000,0.07473,3.38921,1085.73,11.150,0.063,12.923,14502.68,31961,1.25,643427,0,0,Europe,ECA,Western Europe,FRA,High Income OECD,NC
French Guians,12.475,0.122,13.687,218.93,0.01136,0.00032,0.01281,8.11000,0.24836,6.71330,7.59,42.680,0.389,47.339,64.38,20972,0.85,83534,0,0,Latin America & Caribbean,LCR,Northern South America,GUF,High Income Non OECD,NC
French Polynesia,16.208,0.415,11.864,283.02,0.05021,0.00371,0.03775,12.77000,1.02191,7.05530,11.16,33.360,0.794,24.688,136.87,13062,-0.46,4167,1,1,Oceania,EAP,Pacific Islands,PYF,High Income Non OECD,NC
Gabon,18.487,0.468,12.114,1485.83,0.00397,0.00029,0.00267,35.48000,2.81266,17.54581,170.42,100.000,2.359,66.243,222.28,15074,-0.65,267667,0,0,Africa,SSA,Central Africa,GAB,Upper Middle Income,IBRD
"Gambia, The",23.131,3.894,26.575,1732.08,0.05184,0.02521,0.06119,3.70000,1.95014,3.21082,24.20,54.410,8.527,63.196,754.84,1144,-0.44,11295,0,0,Africa,SSA,Coastal West Africa,GMB,Low Income,IDA
Georgia,6.380,0.246,8.617,4630.84,0.00686,0.00076,0.00952,5.93000,0.71396,6.04549,119.50,13.560,0.486,18.517,2188.54,4134,0.59,69700,0,0,Europe,ECA,Eastern Europe,GEO,Lower Middle Income,Blend
Germany,1.310,0.007,1.588,82369.55,0.00320,0.00005,0.00398,4.62000,0.08155,4.22619,1316.50,4.830,0.025,5.911,21712.61,32342,1.46,357022,0,0,Europe,ECA,Western Europe,DEU,High Income OECD,NC
Ghana,11.408,1.384,15.934,23434.57,0.02578,0.00903,0.03699,5.22000,1.98075,5.50333,345.88,23.290,2.630,32.893,11712.60,1255,0.08,238533,0,0,Africa,SSA,Coastal West Africa,GHA,Low Income,IDA
Gibraltar,4.506,0.022,5.244,28.71,0.00037,0.00001,0.00045,29.19000,0.44718,25.63288,2.58,8.320,0.038,9.788,6.94,39119,1.44,7,0,0,Europe,WEU,Western Europe,GIB,High Income OECD,NC
Greece,5.189,0.038,5.235,10722.82,0.00846,0.00018,0.00877,8.95000,0.20635,6.81625,326.67,12.980,0.089,13.236,4181.90,30877,0.81,131957,0,0,Europe,ECA,Western Europe,GRC,High Income OECD,NC
Greenland,19.441,0.160,25.529,57.56,0.01768,0.00042,0.02385,61.35000,1.57656,60.79031,13.61,33.360,0.255,44.287,9.49,20124,1.44,2166086,1,0,Oceania,ECA,Atlantic Islands,GRL,High Income Non OECD,NC
Grenada,44.246,2.755,58.961,106.56,0.28956,0.05207,0.39639,3.33000,0.64918,3.35181,1.31,65.390,3.790,88.092,73.69,2593,0.31,344,1,1,Latin America & Caribbean,LCR,Caribbean Islands,GRD,Upper Middle Income,Blend
Guadeloupe,26.466,0.844,34.055,462.57,0.06601,0.00608,0.08726,22.61000,2.25661,21.95575,32.58,65.390,1.942,85.062,181.02,5290,0.58,1751,1,1,Latin America & Caribbean,LCR,Caribbean Islands,GLP,Upper Middle Income,NC
Guam,2.394,0.031,2.532,175.99,0.03463,0.00130,0.03762,6.67000,0.27026,5.32163,3.92,33.360,0.402,35.664,12.04,16560,0.61,546,1,1,Oceania,EAP,Pacific Islands,GUM,High Income Non OECD,NC
